               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.017416,           0.0093407,                   0,             0.71459,             0.46687,             0.53263,             0.31363,            0.056432,            0.010213,                   0,           0.0094517,           0.0094517,           0.0094517
                  38,            0.016908,           0.0092777,                   0,             0.72989,             0.53929,             0.60383,             0.38362,            0.051565,           0.0093864,                   0,           0.0094365,           0.0094365,           0.0094365
                  39,            0.017104,           0.0089555,                   0,             0.69803,             0.56093,             0.61895,             0.37692,            0.050376,            0.009703,                   0,           0.0094212,           0.0094212,           0.0094212
                  40,            0.017609,           0.0091948,                   0,             0.68805,             0.57781,              0.6164,             0.38403,            0.050693,           0.0093346,                   0,            0.009406,            0.009406,            0.009406
                  41,            0.017233,             0.00914,                   0,             0.69897,             0.58552,             0.64032,             0.39548,            0.049867,           0.0097152,                   0,           0.0093908,           0.0093908,           0.0093908
                  42,            0.017105,           0.0091889,                   0,             0.75202,             0.57182,             0.63567,             0.38925,            0.049796,           0.0092358,                   0,           0.0093755,           0.0093755,           0.0093755
                  43,            0.017011,           0.0089817,                   0,              0.7467,             0.54237,             0.60793,             0.36981,            0.053388,             0.01009,                   0,           0.0093603,           0.0093603,           0.0093603
                  44,            0.017372,           0.0092233,                   0,             0.71948,             0.57304,             0.63333,             0.40366,            0.050978,           0.0092185,                   0,           0.0093451,           0.0093451,           0.0093451
                  45,            0.017483,           0.0090347,                   0,             0.68648,             0.54992,             0.58865,             0.36933,             0.05187,           0.0095666,                   0,           0.0093298,           0.0093298,           0.0093298
                  46,            0.016491,           0.0086968,                   0,             0.75778,              0.5552,             0.63653,             0.40085,            0.050703,           0.0090053,                   0,           0.0093146,           0.0093146,           0.0093146
                  47,            0.016372,           0.0088461,                   0,             0.78045,             0.56019,             0.63947,             0.39666,            0.049897,           0.0091295,                   0,           0.0092994,           0.0092994,           0.0092994
                  48,            0.017073,           0.0089825,                   0,             0.78599,              0.5546,             0.64339,             0.40009,            0.050254,           0.0092102,                   0,           0.0092842,           0.0092842,           0.0092842
                  49,            0.016557,           0.0088957,                   0,             0.77078,             0.47149,             0.55596,             0.35151,            0.052701,            0.010422,                   0,           0.0092689,           0.0092689,           0.0092689
                  50,            0.016474,           0.0087168,                   0,             0.69475,             0.57163,             0.58272,               0.367,            0.053866,           0.0097117,                   0,           0.0092537,           0.0092537,           0.0092537
                  51,            0.016616,           0.0088771,                   0,              0.7453,              0.5547,             0.61831,             0.38842,            0.053526,           0.0095797,                   0,           0.0092385,           0.0092385,           0.0092385
                  52,            0.016683,            0.008854,                   0,              0.7513,             0.59784,             0.65443,             0.42095,            0.050306,           0.0089157,                   0,           0.0092232,           0.0092232,           0.0092232
                  53,            0.016407,            0.008555,                   0,             0.77722,             0.55906,             0.63929,             0.38971,            0.051494,            0.009161,                   0,            0.009208,            0.009208,            0.009208
                  54,            0.016376,           0.0086526,                   0,             0.77955,              0.5463,              0.6417,             0.40648,            0.050335,           0.0093685,                   0,           0.0091928,           0.0091928,           0.0091928
                  55,            0.016474,           0.0086622,                   0,             0.74539,             0.58823,             0.63354,             0.41227,            0.053337,           0.0090924,                   0,           0.0091775,           0.0091775,           0.0091775
                  56,            0.016294,           0.0085049,                   0,             0.76952,             0.58706,             0.64861,             0.40784,            0.049682,            0.008933,                   0,           0.0091623,           0.0091623,           0.0091623
                  57,            0.016402,           0.0085776,                   0,              0.7894,             0.60644,             0.65868,             0.40794,            0.050269,           0.0092138,                   0,           0.0091471,           0.0091471,           0.0091471
                  58,            0.016276,            0.008684,                   0,             0.76886,             0.56173,             0.64246,             0.40865,            0.052726,           0.0091803,                   0,           0.0091318,           0.0091318,           0.0091318
                  59,            0.016305,           0.0086798,                   0,             0.76399,             0.60494,             0.66569,             0.41769,            0.048876,           0.0089613,                   0,           0.0091166,           0.0091166,           0.0091166
                  60,            0.015717,           0.0084293,                   0,             0.79894,             0.59105,             0.68767,             0.44342,            0.047664,           0.0088155,                   0,           0.0091014,           0.0091014,           0.0091014
                  61,            0.016318,           0.0086274,                   0,             0.75176,             0.64241,             0.69198,              0.4377,            0.048628,           0.0093153,                   0,           0.0090862,           0.0090862,           0.0090862
                  62,            0.015859,           0.0086663,                   0,             0.71526,             0.63186,             0.67012,             0.41342,            0.050476,           0.0093877,                   0,           0.0090709,           0.0090709,           0.0090709
                  63,            0.016187,           0.0085024,                   0,             0.75923,             0.56173,             0.64077,              0.4017,            0.052213,           0.0090836,                   0,           0.0090557,           0.0090557,           0.0090557
                  64,            0.016166,           0.0086292,                   0,              0.7458,             0.62096,             0.67235,             0.41678,            0.048381,           0.0089703,                   0,           0.0090405,           0.0090405,           0.0090405
                  65,            0.016494,           0.0086664,                   0,             0.73151,             0.55932,             0.61796,              0.3905,            0.049949,           0.0094205,                   0,           0.0090252,           0.0090252,           0.0090252
                  66,            0.015329,           0.0083127,                   0,             0.74635,             0.61111,             0.66327,             0.42922,            0.049189,           0.0090825,                   0,             0.00901,             0.00901,             0.00901
                  67,            0.015612,           0.0084022,                   0,              0.8292,             0.56944,             0.67221,             0.41422,            0.047233,           0.0088922,                   0,           0.0089948,           0.0089948,           0.0089948
                  68,            0.015324,            0.008403,                   0,             0.78594,             0.59133,             0.66593,             0.41926,            0.049378,           0.0096504,                   0,           0.0089795,           0.0089795,           0.0089795
                  69,            0.015385,           0.0082858,                   0,             0.74548,              0.5814,             0.64554,             0.41396,             0.05017,            0.010269,                   0,           0.0089643,           0.0089643,           0.0089643
                  70,            0.015715,           0.0085595,                   0,             0.77114,             0.60412,              0.6686,             0.42706,            0.048383,           0.0088414,                   0,           0.0089491,           0.0089491,           0.0089491
